symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,first_hit,R_multiple,start_value,end_value,total_return_amount,total_return_pct,max_drawdown_amount,max_drawdown_pct,daily_vol,return_risk_ratio,n_days
SPXUSD,2024-05-20,3,bearish,S3_NY: 5m retrace + 1m BOS,2024-05-20 14:05:00+00:00,5306.177,5309.382,5305.882,,,tp1,0.04602184087364734,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-05-23,2,bearish,S2_NY: 5m retrace + 1m BOS,2024-05-23 13:56:00+00:00,5347.029,5349.077,5347.014,5332.023,5315.17,tp1,0.0036621093750803394,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-05-24,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-05-24 13:52:00+00:00,5283.132,5287.379,5277.779,5269.08,5268.461,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-05-29,3,bullish,S3_NY: 5m retrace + 1m BOS,2024-05-29 13:53:00+00:00,5270.307,5268.25,5270.752,5290.177,5305.992,tp1,0.10816723383584446,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-05-31,3,bearish,S3_NY: 5m retrace + 1m BOS,2024-05-31 13:59:00+00:00,5252.632,5255.677,5244.876,5215.111,,tp1,1.2735632183906762,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-06-03,2,bearish,S2_NY: 5m retrace + 1m BOS,2024-06-03 13:51:00+00:00,5292.87,5294.37,5280.882,,,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-06-06,1,bullish,S1_NY: 5m retrace + 1m BOS,2024-06-06 13:45:00+00:00,5352.583,5346.844,5358.81,,,tp1,0.5425161177906629,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-06-07,1,bullish,S1_NY: 5m retrace + 1m BOS,2024-06-07 13:50:00+00:00,5331.382,5318.879,5360.047,5361.626,5361.677,tp1,2.3568143645525756,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-06-07,2,bullish,S2_NY: 5m retrace + 1m BOS,2024-06-07 13:50:00+00:00,5331.382,5318.879,5360.047,5361.626,5361.677,tp1,2.3568143645525756,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-06-10,3,bullish,S3_NY: 5m retrace + 1m BOS,2024-06-10 14:15:00+00:00,5337.773,5335.764,5338.532,5346.827,5350.032,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
