symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,pnl_R,exit_time_utc,exit_price,exit_reason
SPXUSD,2023-10-19,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-10-19 13:39:00+00:00,4323.023,4323.273,4306.961,4296.237,,-1.0,2023-10-19 13:40:00+00:00,4323.273,stop_before_tp1
SPXUSD,2023-10-24,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-10-24 13:39:00+00:00,4242.189,4242.439,4240.311,4224.67,4219.229,-1.0,2023-10-24 13:40:00+00:00,4242.439,stop_before_tp1
NSXUSD,2023-10-25,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-10-25 13:44:00+00:00,14658.439,14647.769,14691.919,,14721.619,-1.0,2023-10-25 14:17:00+00:00,14647.769,stop_before_tp1
SPXUSD,2023-11-01,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-01 14:39:00+00:00,4224.602,4224.852,4221.201,4172.672,,-1.0,2023-11-01 14:40:00+00:00,4224.852,stop_before_tp1
SPXUSD,2023-11-02,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-02 14:39:00+00:00,4296.687,4296.937,4292.261,4248.272,4243.376,-1.0,2023-11-02 14:40:00+00:00,4296.937,stop_before_tp1
SPXUSD,2023-11-03,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-03 14:39:00+00:00,4349.76,4350.01,4343.804,4308.951,,-1.0,2023-11-03 14:40:00+00:00,4350.01,stop_before_tp1
SPXUSD,2023-11-06,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-06 14:39:00+00:00,4368.882,4369.132,4363.876,4362.297,4356.927,-1.0,2023-11-06 14:40:00+00:00,4369.132,stop_before_tp1
SPXUSD,2023-11-10,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-10 14:39:00+00:00,4365.263,4368.934,4357.48,4342.13,4340.532,-1.0,2023-11-10 14:44:00+00:00,4368.934,stop_before_tp1
SPXUSD,2023-11-14,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-14 14:39:00+00:00,4476.337,4476.587,4468.801,4410.357,4409.651,-1.0,2023-11-14 14:40:00+00:00,4476.587,stop_before_tp1
NSXUSD,2023-11-15,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-15 14:39:00+00:00,15883.319,15900.039,4502.943,,,-1.0,2023-11-15 15:50:00+00:00,15900.039,stop_before_tp1
SPXUSD,2023-11-16,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-16 14:39:00+00:00,4501.111,4506.873,4494.361,4493.361,4490.591,-1.0,2023-11-16 14:54:00+00:00,4506.873,stop_before_tp1
NSXUSD,2023-11-17,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-11-17 14:44:00+00:00,15778.809,15778.559,15853.899,15856.299,,-1.0,2023-11-17 14:45:00+00:00,15778.559,stop_before_tp1
SPXUSD,2023-11-20,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-20 14:44:00+00:00,4521.62,4521.87,4510.361,4508.867,4506.114,-1.0,2023-11-20 14:45:00+00:00,4521.87,stop_before_tp1
NSXUSD,2023-11-21,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-11-21 14:39:00+00:00,15949.399,15948.539,15957.369,16032.189,16062.399,-1.0,2023-11-21 14:40:00+00:00,15948.539,stop_before_tp1
SPXUSD,2023-11-22,2,bearish,S2_NY: retrace-allowed (bos_path),2023-11-22 14:51:00+00:00,4561.126,4566.617,4552.873,4536.926,4532.494,0.7515,2023-11-22 16:59:00+00:00,4561.126,breakeven_after_tp1
SPXUSD,2023-11-29,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-11-29 14:44:00+00:00,4580.804,4581.054,4574.532,4558.263,4554.507,-1.0,2023-11-29 14:45:00+00:00,4581.054,stop_before_tp1
NSXUSD,2023-12-01,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-12-01 14:39:00+00:00,15881.379,15881.129,15910.909,15962.339,,-1.0,2023-12-01 14:40:00+00:00,15881.129,stop_before_tp1
NSXUSD,2023-12-05,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-12-05 14:39:00+00:00,15779.209,15734.689,15804.159,,15822.009,0.52055,2023-12-05 21:00:00+00:00,15779.209,timeout
SPXUSD,2023-12-07,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-12-07 14:39:00+00:00,4570.382,4570.632,4567.62,4543.382,,-1.0,2023-12-07 14:40:00+00:00,4570.632,stop_before_tp1
NSXUSD,2023-12-08,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-12-08 14:39:00+00:00,15959.599,15929.949,15974.899,16017.679,,0.25801,2023-12-08 14:58:00+00:00,15959.599,breakeven_after_tp1
NSXUSD,2023-12-12,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-12-12 14:39:00+00:00,16189.429,16189.179,16223.369,16289.419,,-1.0,2023-12-12 14:42:00+00:00,16189.179,stop_before_tp1
SPXUSD,2023-12-14,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-12-14 14:39:00+00:00,4726.426,4727.917,4724.552,4714.911,4713.721,-1.0,2023-12-14 14:40:00+00:00,4727.917,stop_before_tp1
SPXUSD,2023-12-14,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-12-14 14:39:00+00:00,4726.426,4726.176,16639.099,,,-1.0,2023-12-14 14:40:00+00:00,4726.176,stop_before_tp1
SPXUSD,2023-12-18,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-12-18 14:39:00+00:00,4732.417,4732.667,4727.161,4718.234,,-1.0,2023-12-18 14:40:00+00:00,4732.667,stop_before_tp1
NSXUSD,2023-12-21,2,bearish,S2_NY: retrace-allowed (retrace_path),2023-12-21 14:39:00+00:00,16726.819,16727.069,4729.864,,,-1.0,2023-12-21 14:40:00+00:00,16727.069,stop_before_tp1
NSXUSD,2023-12-29,2,bullish,S2_NY: retrace-allowed (retrace_path),2023-12-29 14:39:00+00:00,16903.849,16897.049,16913.199,16942.619,,-1.0,2023-12-29 14:42:00+00:00,16897.049,stop_before_tp1
NSXUSD,2024-01-02,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-01-02 14:44:00+00:00,16590.819,16590.569,16689.599,16847.799,,-1.0,2024-01-02 14:45:00+00:00,16590.569,stop_before_tp1
NSXUSD,2024-01-03,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-01-03 14:39:00+00:00,16438.189,16425.219,16457.119,16547.679,16551.209,0.72976,2024-01-03 14:56:00+00:00,16438.189,breakeven_after_tp1
SPXUSD,2024-01-10,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-01-10 14:39:00+00:00,4767.576,4767.826,4756.433,4751.954,4748.773,-1.0,2024-01-10 14:40:00+00:00,4767.826,stop_before_tp1
