symbol,day,entry_ts,entry,sl,tp1,tp2,tp3,scenario,bias,tp1_hit,tp2_hit,tp3_hit,exit_reason,exit_ts,pnl_R,pnl_money
SPXUSD,2023-09-07,2023-09-07T16:42:00+02:00,4442.654,4442.464,4442.84,4458.6,4465.46,1,bullish,False,False,False,stop,2023-09-07T16:42:00+02:00,-1.0,-1.0
SPXUSD,2023-09-12,2023-09-12T16:02:00+02:00,4472.06,4471.957,4472.16,4485.43,4485.62,1,bullish,False,False,False,stop,2023-09-12T16:02:00+02:00,-1.0,-1.0
SPXUSD,2023-09-13,2023-09-13T15:34:00+02:00,4455.076,4454.237,4455.92,4467.96,4464.62,1,bullish,True,False,False,break_even,2023-09-13T15:35:00+02:00,0.5,0.5
SPXUSD,2023-09-14,2023-09-14T15:54:00+02:00,4486.551,4488.067,4485.04,4470.7,4467.46,1,bearish,False,False,False,stop,2023-09-14T15:54:00+02:00,-1.0,-1.0
SPXUSD,2023-09-15,2023-09-15T15:32:00+02:00,4507.186,4506.404,4507.97,4515.35,4516.38,3,bullish,False,False,False,stop,2023-09-15T15:32:00+02:00,-1.0,-1.0
SPXUSD,2023-09-21,2023-09-21T15:44:00+02:00,4365.054,4364.269,4365.84,4394.18,4401.55,1,bullish,False,False,False,stop,2023-09-21T15:44:00+02:00,-1.0,-1.0
SPXUSD,2023-09-25,2023-09-25T16:05:00+02:00,4304.123,4303.623,4304.62,4339.43,4332.98,1,bullish,True,False,False,break_even,2023-09-25T16:06:00+02:00,0.5,0.5
SPXUSD,2023-09-28,2023-09-28T16:45:00+02:00,4264.867,4263.487,4266.25,4283.47,4286.5,1,bullish,True,True,True,tp3,2023-09-28T17:01:00+02:00,7.7895,7.79
SPXUSD,2023-10-02,2023-10-02T16:02:00+02:00,4277.873,4277.62,4278.13,4319.88,4316.63,1,bullish,False,False,False,stop,2023-10-02T16:02:00+02:00,-1.0,-1.0
SPXUSD,2023-10-03,2023-10-03T15:40:00+02:00,4263.631,4262.763,4264.5,4299.25,4292.14,1,bullish,False,False,False,stop,2023-10-03T15:40:00+02:00,-1.0,-1.0
SPXUSD,2023-10-17,2023-10-17T15:33:00+02:00,4356.776,4356.223,4357.33,4372.96,4376.8,1,bullish,False,False,False,stop,2023-10-17T15:33:00+02:00,-1.0,-1.0
SPXUSD,2023-10-18,2023-10-18T15:54:00+02:00,4350.924,4350.407,4351.44,4370.34,4370.35,1,bullish,False,False,False,stop,2023-10-18T15:54:00+02:00,-1.0,-1.0
SPXUSD,2023-10-23,2023-10-23T16:45:00+02:00,4191.67,4190.673,4192.67,4234.93,4236.49,1,bullish,False,False,False,stop,2023-10-23T16:45:00+02:00,-1.0,-1.0
SPXUSD,2023-10-27,2023-10-27T16:52:00+02:00,4141.369,4140.994,4141.74,4164.8,4163.15,1,bullish,False,False,False,stop,2023-10-27T16:52:00+02:00,-1.0,-1.0
SPXUSD,2023-11-21,2023-11-21T15:39:00+01:00,4535.62,4534.281,4536.96,4547.35,4553.09,1,bullish,True,False,False,break_even,2023-11-21T15:40:00+01:00,0.5,0.5
SPXUSD,2023-12-01,2023-12-01T15:33:00+01:00,4556.067,4555.516,4556.62,4575.85,4567.89,1,bullish,False,False,False,stop,2023-12-01T15:33:00+01:00,-1.0,-1.0
